Tenacity at Break (Standard),"0.23566",N/tex
Tensile extension at Break (Standard),"74.01347",mm
Tenacity at Yield ,,N/tex

Time,Extension,Load,Tensile strain (Extension),Tensile stress,Tenacity,Tensile extension
(s),(mm),(N),(mm/mm),(MPa),(N/tex),(mm)
"28.10000","28.07957","1.05105","0.87749","0.17518","1.05105","28.07957"
"28.20000","28.17945","0.98660","0.88061","0.16443","0.98660","28.17945"
"28.30000","28.27951","1.06862","0.88373","0.17810","1.06862","28.27951"
"28.40000","28.37967","1.05407","0.88686","0.17568","1.05407","28.37967"
"28.50000","28.47956","1.00504","0.88999","0.16751","1.00504","28.47956"
"28.60000","28.57948","1.02749","0.89311","0.17125","1.02749","28.57948"
"28.70000","28.67947","1.05963","0.89623","0.17660","1.05963","28.67947"
"28.80000","28.77971","1.05946","0.89937","0.17658","1.05946","28.77971"
"28.90000","28.87952","1.10645","0.90249","0.18441","1.10645","28.87952"
"29.00000","28.97948","1.01960","0.90561","0.16993","1.01960","28.97948"
"29.10000","29.07956","1.06048","0.90874","0.17675","1.06048","29.07956"
"29.20000","29.17963","1.06096","0.91186","0.17683","1.06096","29.17963"
"29.30000","29.27957","1.09927","0.91499","0.18321","1.09927","29.27957"
"29.40000","29.37947","1.06335","0.91811","0.17722","1.06335","29.37947"
"29.50000","29.47957","1.07325","0.92124","0.17888","1.07325","29.47957"
"29.60000","29.57961","1.01486","0.92436","0.16914","1.01486","29.57961"
"29.70000","29.67958","1.07176","0.92749","0.17863","1.07176","29.67958"
"29.80000","29.77943","1.08594","0.93061","0.18099","1.08594","29.77943"
"29.90000","29.87946","1.09030","0.93373","0.18172","1.09030","29.87946"
"30.00000","29.97957","1.10267","0.93686","0.18378","1.10267","29.97957"
"30.10000","30.07957","1.09762","0.93999","0.18294","1.09762","30.07957"
"30.20000","30.17949","1.09850","0.94311","0.18308","1.09850","30.17949"
"30.30000","30.27949","1.10302","0.94623","0.18384","1.10302","30.27949"
"30.40000","30.37960","1.09238","0.94936","0.18206","1.09238","30.37960"
"30.50000","30.47954","1.11684","0.95249","0.18614","1.11684","30.47954"
"30.60000","30.57941","1.12524","0.95561","0.18754","1.12524","30.57941"
"30.70000","30.67948","1.09919","0.95873","0.18320","1.09919","30.67948"
"30.80000","30.77963","1.14934","0.96186","0.19156","1.14934","30.77963"
"30.90000","30.87957","1.11532","0.96499","0.18589","1.11532","30.87957"
"31.00000","30.97944","1.18149","0.96811","0.19692","1.18149","30.97944"
"31.10000","31.07948","1.12362","0.97123","0.18727","1.12362","31.07948"
"31.20000","31.17959","1.16824","0.97436","0.19471","1.16824","31.17959"
"31.30000","31.27953","1.12473","0.97749","0.18746","1.12473","31.27953"
"31.40000","31.37941","1.12141","0.98061","0.18690","1.12141","31.37941"
"31.50000","31.47950","1.17324","0.98373","0.19554","1.17324","31.47950"
"31.60000","31.57958","1.20358","0.98686","0.20060","1.20358","31.57958"
"31.70000","31.67953","1.17040","0.98999","0.19507","1.17040","31.67953"
"31.80000","31.77942","1.14224","0.99311","0.19037","1.14224","31.77942"
"31.90000","31.87947","1.13261","0.99623","0.18877","1.13261","31.87947"
"32.00000","31.97957","1.18499","0.99936","0.19750","1.18499","31.97957"
"32.10000","32.07956","1.14875","1.00249","0.19146","1.14875","32.07956"
"32.20000","32.17944","1.20209","1.00561","0.20035","1.20209","32.17944"
"32.30000","32.27946","1.22384","1.00873","0.20397","1.22384","32.27946"
"32.40000","32.37954","1.22974","1.01186","0.20496","1.22974","32.37954"
"32.50000","32.47953","1.23979","1.01499","0.20663","1.23979","32.47953"
"32.60000","32.57940","1.21224","1.01811","0.20204","1.21224","32.57940"
"32.70000","32.67945","1.21262","1.02123","0.20210","1.21262","32.67945"
"32.80000","32.77959","1.24055","1.02436","0.20676","1.24055","32.77959"
"32.90000","32.87952","1.23853","1.02748","0.20642","1.23853","32.87952"
"33.00000","32.97936","1.27053","1.03061","0.21175","1.27053","32.97936"
"33.10000","33.07945","1.20896","1.03373","0.20149","1.20896","33.07945"
"33.20000","33.17958","1.24040","1.03686","0.20673","1.24040","33.17958"
"33.30000","33.27950","1.22184","1.03998","0.20364","1.22184","33.27950"
"33.40000","33.37939","1.23179","1.04311","0.20530","1.23179","33.37939"
"33.50000","33.47943","1.19754","1.04623","0.19959","1.19754","33.47943"
"33.60000","33.57955","1.20955","1.04936","0.20159","1.20955","33.57955"
"33.70000","33.67949","1.22376","1.05248","0.20396","1.22376","33.67949"
"33.80000","33.77939","1.25513","1.05561","0.20919","1.25513","33.77939"
"33.90000","33.87943","1.18253","1.05873","0.19709","1.18253","33.87943"
"34.00000","33.97948","1.23323","1.06186","0.20554","1.23323","33.97948"
"34.10000","34.07951","1.20942","1.06498","0.20157","1.20942","34.07951"
"34.20000","34.17941","1.26504","1.06811","0.21084","1.26504","34.17941"
"34.30000","34.27945","1.20596","1.07123","0.20099","1.20596","34.27945"
"34.40000","34.37952","1.20317","1.07436","0.20053","1.20317","34.37952"
"34.50000","34.47952","1.26662","1.07748","0.21110","1.26662","34.47952"
"34.60000","34.57940","1.26804","1.08061","0.21134","1.26804","34.57940"
"34.70000","34.67937","1.30968","1.08373","0.21828","1.30968","34.67937"
"34.80000","34.77947","1.26446","1.08686","0.21074","1.26446","34.77947"
"34.90000","34.87950","1.27114","1.08998","0.21186","1.27114","34.87950"
